seed,feature_group,epoch,loss,validation_loss,origin_month
303,full,1,0.10977150499820709,0.06632649153470993,2023-11-01
303,full,2,0.06124284863471985,0.050384167581796646,2023-11-01
303,full,3,0.04895082488656044,0.04429888352751732,2023-11-01
303,full,4,0.04519521817564964,0.04386378824710846,2023-11-01
303,full,5,0.042191099375486374,0.041910022497177124,2023-11-01
303,full,6,0.04042237624526024,0.041976671665906906,2023-11-01
303,full,7,0.03854027017951012,0.041920945048332214,2023-11-01
303,full,8,0.036941587924957275,0.040726181119680405,2023-11-01
303,full,9,0.03677089139819145,0.04020967707037926,2023-11-01
303,full,10,0.03537445515394211,0.03858974203467369,2023-11-01
303,full,11,0.034594811499118805,0.038697440177202225,2023-11-01
303,full,12,0.0335707813501358,0.03771476075053215,2023-11-01
303,full,13,0.032984599471092224,0.03766864165663719,2023-11-01
303,full,14,0.03327937424182892,0.038909200578927994,2023-11-01
303,full,15,0.032733529806137085,0.038116637617349625,2023-11-01
303,full,16,0.03185578063130379,0.036166250705718994,2023-11-01
303,full,17,0.031129000708460808,0.039679449051618576,2023-11-01
303,full,18,0.03101370669901371,0.0368780642747879,2023-11-01
303,full,19,0.029987886548042297,0.03608207032084465,2023-11-01
303,full,20,0.02981388196349144,0.03624254837632179,2023-11-01
303,full,21,0.02913367934525013,0.03617927432060242,2023-11-01
303,full,22,0.028354695066809654,0.03651544824242592,2023-11-01
303,full,23,0.0284284595400095,0.03468800336122513,2023-11-01
303,full,24,0.0288636963814497,0.033818453550338745,2023-11-01
303,full,25,0.0278426855802536,0.03419515863060951,2023-11-01
303,full,26,0.027399705722928047,0.03513776510953903,2023-11-01
303,full,27,0.027127273380756378,0.034773241728544235,2023-11-01
303,full,28,0.02659629099071026,0.03406659886240959,2023-11-01
303,full,29,0.02655107155442238,0.03447078540921211,2023-11-01
303,full,30,0.026065651327371597,0.034340012818574905,2023-11-01
303,full,31,0.02575267292559147,0.03438521921634674,2023-11-01
303,full,32,0.025466032326221466,0.03377450630068779,2023-11-01
303,full,33,0.02557068131864071,0.034723494201898575,2023-11-01
303,full,34,0.025233153253793716,0.03416615352034569,2023-11-01
303,full,35,0.025178678333759308,0.03424975648522377,2023-11-01
303,full,36,0.024628497660160065,0.034869831055402756,2023-11-01
303,full,37,0.024574706330895424,0.03498406335711479,2023-11-01
303,full,38,0.02433999814093113,0.03514695167541504,2023-11-01
303,full,39,0.024313466623425484,0.033279214054346085,2023-11-01
303,full,40,0.024385403841733932,0.03458276763558388,2023-11-01
303,full,41,0.02409794181585312,0.0338095985352993,2023-11-01
303,full,42,0.023413756862282753,0.03393663465976715,2023-11-01
303,full,43,0.023670103400945663,0.03395239636301994,2023-11-01
303,full,44,0.02279004268348217,0.03402760252356529,2023-11-01
303,full,45,0.023382248356938362,0.03397630527615547,2023-11-01
303,full,46,0.022879382595419884,0.03472604230046272,2023-11-01
303,full,47,0.022769955918192863,0.034432511776685715,2023-11-01
303,full,48,0.02263185754418373,0.03444993495941162,2023-11-01
303,full,49,0.022413425147533417,0.03491993993520737,2023-11-01
303,full,50,0.02230815961956978,0.03490762040019035,2023-11-01
303,full,51,0.022099392488598824,0.035378750413656235,2023-11-01
707,full,1,0.09994450956583023,0.07182750105857849,2023-11-01
707,full,2,0.05837244540452957,0.0575953871011734,2023-11-01
707,full,3,0.04860348999500275,0.05345245823264122,2023-11-01
707,full,4,0.04386892914772034,0.04966137185692787,2023-11-01
707,full,5,0.041355643421411514,0.0492047555744648,2023-11-01
707,full,6,0.03935430943965912,0.04811367392539978,2023-11-01
707,full,7,0.0377652570605278,0.04709428921341896,2023-11-01
707,full,8,0.036328043788671494,0.045301541686058044,2023-11-01
707,full,9,0.03534265235066414,0.043429646641016006,2023-11-01
707,full,10,0.03443116322159767,0.04350472614169121,2023-11-01
707,full,11,0.033868931233882904,0.04436950385570526,2023-11-01
707,full,12,0.03316810354590416,0.04204544425010681,2023-11-01
707,full,13,0.032480135560035706,0.042101141065359116,2023-11-01
707,full,14,0.03235432133078575,0.04164509102702141,2023-11-01
707,full,15,0.03201030194759369,0.04226027801632881,2023-11-01
707,full,16,0.031391698867082596,0.04195082187652588,2023-11-01
707,full,17,0.030339675024151802,0.04208242893218994,2023-11-01
707,full,18,0.0300556980073452,0.03975615277886391,2023-11-01
707,full,19,0.030032966285943985,0.040829744189977646,2023-11-01
707,full,20,0.029318390414118767,0.03962036967277527,2023-11-01
707,full,21,0.02906879223883152,0.040640611201524734,2023-11-01
707,full,22,0.02789982594549656,0.04041173309087753,2023-11-01
707,full,23,0.027979250997304916,0.03906312584877014,2023-11-01
