model_name,slice_dimension,slice_value,rows,WAPE,Bias
EXTRA_TREES_RESPONSIVE,horizon,3,96,0.09134176157211953,-0.006370715876841487
EXTRA_TREES_RESPONSIVE,horizon,4,96,0.08594931791963059,-0.024365982382819076
EXTRA_TREES_RESPONSIVE,horizon,5,96,0.23146940911166372,-0.09954350374353181
EXTRA_TREES_RESPONSIVE,horizon,6,96,0.09030932155222618,0.012943945699388724
EXTRA_TREES_RESPONSIVE,horizon,7,96,0.10277101158818737,-0.007389889952356268
EXTRA_TREES_RESPONSIVE,horizon,8,96,0.1039944332701764,0.021078996760332827
EXTRA_TREES_RESPONSIVE,horizon,9,96,0.22141037914105005,-0.18171401561368353
EXTRA_TREES_RESPONSIVE,horizon,10,96,0.12883048759228335,-0.030816278047735884
EXTRA_TREES_RESPONSIVE,horizon,11,96,0.08904175948354179,-0.056881191079993856
EXTRA_TREES_RESPONSIVE,horizon,12,96,0.13917607411263255,0.04693660225626415
LIGHTGBM,horizon,1,96,0.0914883286605612,0.04705806805603523
LIGHTGBM,horizon,2,96,0.1780505507868578,0.014755953331087038
LIGHTGBM,horizon,3,96,0.11311366279140982,0.004320330264285188
LIGHTGBM,horizon,4,96,0.10230042890077247,-0.025457908969075967
LIGHTGBM,horizon,5,96,0.23242600284829418,-0.13215482092459582
LIGHTGBM,horizon,6,96,0.1010677248734173,0.026117271316998716
LIGHTGBM,horizon,7,96,0.16078949333242756,0.030422669189941194
LIGHTGBM,horizon,8,96,0.11297209567824451,0.041520397468018895
LIGHTGBM,horizon,9,96,0.19508057036562623,-0.14348548430055702
LIGHTGBM,horizon,10,96,0.12648751648524237,-0.002695008048795675
LIGHTGBM,horizon,11,96,0.09768776896089582,-0.03085074287853931
LIGHTGBM,horizon,12,96,0.14786867706748485,0.048010237022241595
MOVING_AVERAGE_3,horizon,1,96,0.14037830819327535,-0.013536236536464586
MOVING_AVERAGE_3,horizon,2,96,0.1653148923663717,-0.004118287614526972
MOVING_AVERAGE_3,horizon,3,96,0.16077947621529975,-0.07438429007654399
MOVING_AVERAGE_3,horizon,4,96,0.0999752896945291,0.029077655460237366
MOVING_AVERAGE_3,horizon,5,96,0.2592388382604875,-0.1616496939717001
MOVING_AVERAGE_3,horizon,6,96,0.1900127570194377,-0.07568775456192973
MOVING_AVERAGE_3,horizon,7,96,0.24090994548726588,-0.1884687952558619
MOVING_AVERAGE_3,horizon,8,96,0.20049517962319027,-0.057450110991898624
MOVING_AVERAGE_3,horizon,9,96,0.33269272175259884,-0.28366866905964333
MOVING_AVERAGE_3,horizon,10,96,0.10986905776488563,-0.09642722166494189
MOVING_AVERAGE_3,horizon,11,96,0.14352399285640302,-0.13016096361614604
MOVING_AVERAGE_3,horizon,12,96,0.14549760946235743,0.06403967809393472
SEASONAL_NAIVE,horizon,1,96,0.1707490967492814,0.020697451175964585
SEASONAL_NAIVE,horizon,2,96,0.18051385768155287,-0.030914145669540746
SEASONAL_NAIVE,horizon,3,96,0.15965483824036697,-0.109745624165507
SEASONAL_NAIVE,horizon,4,96,0.1480449478103992,-0.09068465458042015
SEASONAL_NAIVE,horizon,5,96,0.2399278376894613,-0.09452760610257002
SEASONAL_NAIVE,horizon,6,96,0.13524093882536764,0.009130858439247807
SEASONAL_NAIVE,horizon,7,96,0.2672427670548259,-0.13056225304112773
SEASONAL_NAIVE,horizon,8,96,0.11638752083957667,-0.0051097138305725535
SEASONAL_NAIVE,horizon,9,96,0.3246314828133057,-0.17697647500106023
SEASONAL_NAIVE,horizon,10,96,0.14706864469588116,-0.021052262935802715
SEASONAL_NAIVE,horizon,11,96,0.11879908396951856,-0.07489023784889752
SEASONAL_NAIVE,horizon,12,96,0.12901991163980764,0.012080516071143044
CONV1D_ATTENTION_GLOBAL,material_type,packaging_material,384,0.15213363451795586,0.024438712009133626
CONV1D_ATTENTION_GLOBAL,material_type,product,192,0.16502382140421792,0.047028076987793974
CONV1D_ATTENTION_GLOBAL,material_type,raw_material,576,0.1714362828076693,0.07547990645193682
CROSTON_SBA,material_type,packaging_material,384,0.18369594587822147,0.09100170014166604
CROSTON_SBA,material_type,product,192,0.21523546318317746,0.11783595301149385
CROSTON_SBA,material_type,raw_material,576,0.2060747575443864,0.13775361716442833
ETS_A_N_A,material_type,packaging_material,384,0.1509570504561692,-0.014897220107896094
ETS_A_N_A,material_type,product,192,0.18341027070950744,0.00937860865259596
ETS_A_N_A,material_type,raw_material,576,0.19376007225880842,0.0869426793335372
EXTRA_TREES,material_type,packaging_material,384,0.12361398829834798,-0.03193679629796898
EXTRA_TREES,material_type,product,192,0.12662283981765263,0.008098407918707758
EXTRA_TREES,material_type,raw_material,576,0.14600752283981397,0.024053630801974847
EXTRA_TREES_DAMPED_TREND,material_type,packaging_material,384,0.13527590295691536,-0.028629369315188908
EXTRA_TREES_DAMPED_TREND,material_type,product,192,0.15653047893316446,-0.002166199060089251
EXTRA_TREES_DAMPED_TREND,material_type,raw_material,576,0.15568339411643814,0.03631545829487249
EXTRA_TREES_RESPONSIVE,material_type,packaging_material,384,0.12523717111658864,-0.0312206091347597
EXTRA_TREES_RESPONSIVE,material_type,product,192,0.1292580320429098,0.016938830443363848
EXTRA_TREES_RESPONSIVE,material_type,raw_material,576,0.1498497766995598,0.027047486836085342
LIGHTGBM,material_type,packaging_material,384,0.13695447032046484,-0.01589361306455653
LIGHTGBM,material_type,product,192,0.133200816210744,0.020427830337956306
LIGHTGBM,material_type,raw_material,576,0.1462347540542903,0.013545917635884811
MOVING_AVERAGE_3,material_type,packaging_material,384,0.16743291842189903,-0.0844856555589335
MOVING_AVERAGE_3,material_type,product,192,0.21850723274455686,-0.05547369495807236
MOVING_AVERAGE_3,material_type,raw_material,576,0.1783131764099553,-0.02103783009767685
SEASONAL_NAIVE,material_type,packaging_material,384,0.16356694324872753,-0.06490511734426524
SEASONAL_NAIVE,material_type,product,192,0.21044743960702186,-0.029709456535035043
SEASONAL_NAIVE,material_type,raw_material,576,0.18695863838444934,-0.0034171698047112224
CONV1D_ATTENTION_GLOBAL,demand_band,Q1,230,14.893035381578928,-14.61986804325304
CONV1D_ATTENTION_GLOBAL,demand_band,Q2,230,0.19037880912895822,-0.0008830030345333278
CONV1D_ATTENTION_GLOBAL,demand_band,Q3,232,0.1530333448932446,0.003922695731868463
CONV1D_ATTENTION_GLOBAL,demand_band,Q4,229,0.1704498126019177,0.02025230012955217
CONV1D_ATTENTION_GLOBAL,demand_band,Q5,231,0.12099841197164023,0.06739439355142159
CROSTON_SBA,demand_band,Q1,231,14.007122718214301,-13.682073935920705
CROSTON_SBA,demand_band,Q2,230,0.21546328501315984,0.0865106906031874
CROSTON_SBA,demand_band,Q3,230,0.2047890631264679,0.07399491564923127
CROSTON_SBA,demand_band,Q4,231,0.2109809761542648,0.07494454651797562
CROSTON_SBA,demand_band,Q5,230,0.15599896234387414,0.13592754539613236
ETS_A_N_A,demand_band,Q1,231,15.430359526564589,-15.198303850063253
ETS_A_N_A,demand_band,Q2,230,0.22306577929217516,-0.010784448119618942
ETS_A_N_A,demand_band,Q3,230,0.18423280450755464,-0.02512264696805172
ETS_A_N_A,demand_band,Q4,231,0.19371140736853112,-0.01817949314174961
ETS_A_N_A,demand_band,Q5,230,0.11690630729653259,0.032907756633181524
EXTRA_TREES,demand_band,Q1,230,17.065508686662895,-16.8551221540754
EXTRA_TREES,demand_band,Q2,231,0.17655522362302362,-0.033218033599298806
EXTRA_TREES,demand_band,Q3,230,0.13533737086583125,-0.020812197838904232
EXTRA_TREES,demand_band,Q4,231,0.13040328154295447,-0.029024066074526195
EXTRA_TREES,demand_band,Q5,230,0.08757824026930347,0.01698189103796964
EXTRA_TREES_DAMPED_TREND,demand_band,Q1,230,17.02399906449913,-16.79569660106063
EXTRA_TREES_DAMPED_TREND,demand_band,Q2,231,0.17598010125471109,-0.0329382287209314
EXTRA_TREES_DAMPED_TREND,demand_band,Q3,230,0.17070727455621781,-0.0414195305050728
EXTRA_TREES_DAMPED_TREND,demand_band,Q4,230,0.16650956302276074,-0.05719455893666074
EXTRA_TREES_DAMPED_TREND,demand_band,Q5,231,0.09695611663102606,0.026320345713317598
EXTRA_TREES_RESPONSIVE,demand_band,Q1,230,16.975291593085764,-16.759752913227338
