split,model_name,rows,series,WAPE,MAE,RMSE,Bias,under_forecast_rate,selection_score,population
selection,MOVING_AVERAGE_3,8064,96,0.15027268826913187,156.92226380028885,349.58994633600116,0.07525249336173792,0.6476934523809523,0.18789893495000082,ALL_GLOBAL_SERIES
selection,SEASONAL_NAIVE,8064,96,0.1656920052921129,173.0238865327381,474.81691452748174,0.07309503923160038,0.6336805555555556,0.20223952490791308,ALL_GLOBAL_SERIES
selection,ETS_A_N_A,8064,96,0.1620802332831178,169.25229339422333,407.9605349822047,0.10391531524510113,0.6910962301587301,0.21403789090566835,ALL_GLOBAL_SERIES
selection,CONV1D_ATTENTION_GLOBAL,8064,96,0.25299222321084136,264.1871489211305,853.7188544076984,0.09674034281160947,0.6140873015873016,0.3013623946166461,ALL_GLOBAL_SERIES
selection,CROSTON_SBA,8064,96,0.22843280147978345,238.5409667407468,537.3676444763464,0.20364002903066036,0.8148561507936508,0.33025281599511364,ALL_GLOBAL_SERIES
untouched_test,EXTRA_TREES,960,80,0.12525363164573086,121.32057119285304,515.9228945091266,-0.027837205358380836,0.48020833333333335,0.1391722343249213,RM_PM_PRIMARY
untouched_test,EXTRA_TREES_RESPONSIVE,960,80,0.12703929373064718,123.05016211371519,515.6668663583976,-0.026954248424870268,0.48333333333333334,0.1405164179430823,RM_PM_PRIMARY
untouched_test,LIGHTGBM,960,80,0.13763396803253064,133.31215548682752,502.6634308170595,-0.013738065418709453,0.5104166666666666,0.14450300074188538,RM_PM_PRIMARY
untouched_test,EXTRA_TREES_DAMPED_TREND,960,80,0.13677012920576978,132.47544186420288,531.9910443869896,-0.02387414166943322,0.49270833333333336,0.14870720004048638,RM_PM_PRIMARY
untouched_test,ETS_A_N_A,960,80,0.15409106620596635,149.25248810908033,525.3328498120183,-0.007440553840760452,0.5520833333333334,0.1578113431263466,RM_PM_PRIMARY
untouched_test,CONV1D_ATTENTION_GLOBAL,960,80,0.1535469646743529,148.72548117244926,515.4517307550946,0.028175922481076004,0.5822916666666667,0.16763492591489088,RM_PM_PRIMARY
untouched_test,SEASONAL_NAIVE,960,80,0.16527967141329106,160.08976249999998,552.5575814566316,-0.060403000720345434,0.45416666666666666,0.19548117177346377,RM_PM_PRIMARY
untouched_test,MOVING_AVERAGE_3,960,80,0.1682295654449446,162.94702758825576,552.0282885996712,-0.0798400376583371,0.41354166666666664,0.20814958427411315,RM_PM_PRIMARY
untouched_test,CROSTON_SBA,960,80,0.1853345112240724,179.51486490267422,551.0451302711008,0.09442485201533851,0.6927083333333334,0.23254693723174166,RM_PM_PRIMARY
untouched_test,EXTRA_TREES,192,16,0.12662283981765263,153.67755588469325,251.06357808204777,0.008098407918707758,0.4895833333333333,0.1306720437770065,FG_SECONDARY
untouched_test,EXTRA_TREES_RESPONSIVE,192,16,0.1292580320429098,156.8757932725694,260.32617072105074,0.016938830443363848,0.5052083333333334,0.13772744726459174,FG_SECONDARY
untouched_test,LIGHTGBM,192,16,0.133200816210744,161.66100765542637,257.79202482132325,0.020427830337956306,0.5364583333333334,0.14341473137972216,FG_SECONDARY
untouched_test,EXTRA_TREES_DAMPED_TREND,192,16,0.15653047893316446,189.97537457342366,293.2542616520907,-0.002166199060089251,0.4635416666666667,0.1576135784632091,FG_SECONDARY
untouched_test,ETS_A_N_A,192,16,0.18341027070950744,222.59840457991058,354.1255329547974,0.00937860865259596,0.5625,0.18809957503580543,FG_SECONDARY
untouched_test,CONV1D_ATTENTION_GLOBAL,192,16,0.16502382140421792,200.28343653678894,325.9035695373194,0.047028076987793974,0.6197916666666666,0.18853785989811492,FG_SECONDARY
untouched_test,SEASONAL_NAIVE,192,16,0.21044743960702186,255.4124375,391.14891184178236,-0.029709456535035043,0.4947916666666667,0.22530216787453938,FG_SECONDARY
untouched_test,MOVING_AVERAGE_3,192,16,0.21850723274455686,265.1943165993497,386.9044336767294,-0.05547369495807236,0.453125,0.24624408022359304,FG_SECONDARY
untouched_test,CROSTON_SBA,192,16,0.21523546318317746,261.22348834802636,390.33039204362376,0.11783595301149385,0.7135416666666666,0.27415343968892436,FG_SECONDARY
untouched_test,EXTRA_TREES,1152,96,0.1255280004227853,126.71340197482641,481.9950009479244,-0.020636247556837867,0.4817708333333333,0.13584612420120423,ALL_GLOBAL_SERIES
untouched_test,EXTRA_TREES_RESPONSIVE,1152,96,0.1274838956033375,128.68776730685755,482.58527751782424,-0.018158733895235986,0.4869791666666667,0.1365632625509555,ALL_GLOBAL_SERIES
untouched_test,LIGHTGBM,1152,96,0.1367456309127389,138.03696418159402,470.7811507599828,-0.006891732459296034,0.5147569444444444,0.1401914971423869,ALL_GLOBAL_SERIES
untouched_test,EXTRA_TREES_DAMPED_TREND,1152,96,0.1407298068501589,142.05876398240636,500.17837126984216,-0.01952419562891675,0.4878472222222222,0.1504919046646173,ALL_GLOBAL_SERIES
untouched_test,ETS_A_N_A,1152,96,0.1599661949473872,161.4768075208854,500.8788789964765,-0.004070245994945219,0.5538194444444444,0.1620013179448598,ALL_GLOBAL_SERIES
untouched_test,CONV1D_ATTENTION_GLOBAL,1152,96,0.15584675447090784,157.31847373317254,488.98970171999855,0.03195361123315449,0.5885416666666666,0.1718235600874851,ALL_GLOBAL_SERIES
untouched_test,SEASONAL_NAIVE,1152,96,0.17433061456110985,175.976875,529.0867722407829,-0.05425247492427862,0.4609375,0.20145685202324914,ALL_GLOBAL_SERIES
untouched_test,MOVING_AVERAGE_3,1152,96,0.1783044557158546,179.98824242343807,528.105292195619,-0.07495738812040895,0.4201388888888889,0.21578314977605906,ALL_GLOBAL_SERIES
untouched_test,CROSTON_SBA,1152,96,0.19132621342832437,193.1329688102329,527.6696398521839,0.09911608544611616,0.6961805555555556,0.24088425615138245,ALL_GLOBAL_SERIES
