dataset,model,split,horizon,n_obs,WAPE,RMSE,Bias,MASE_mean,wQL50,under_forecast_rate
A,ETS,val,3,103.0,0.133867896533759,5633.343841210443,-730.1729765116,1.099744605933897,2029.0357077621857,0.6019417475728155
A,ETS,val,4,103.0,0.1236236628408661,5659.243328097312,-2113.2868600892843,1.1093575120202015,1962.4470325510215,0.6019417475728155
A,ETS,val,5,103.0,0.1682706977056394,7937.800631689451,-4057.26482133687,1.544970878908248,2839.0901676751037,0.7475728155339806
A,ETS,val,6,103.0,0.1399632650949971,5983.336391470686,-711.1359864679539,1.169939880301715,2130.927122404817,0.4854368932038835
A,SARIMA,test,0,1236.0,0.2173241917366471,13827.714808306917,554.065186428966,1.953623547085717,3355.7150646956375,0.4449838187702265
A,SARIMA,test,1,103.0,0.1812331943725258,7924.357120138585,1374.4190957985827,1.4666350804002135,2741.8083753844626,0.4077669902912621
A,SARIMA,test,2,103.0,0.1534686911237513,6672.97397560337,182.2387091344276,1.4056246459698107,2356.892443958426,0.4660194174757281
A,SARIMA,test,3,103.0,0.1634741024858224,7532.918615573017,811.6713792059599,1.6453978572300216,2613.3319191369465,0.4077669902912621
A,SARIMA,test,4,103.0,0.1652201642185194,7708.931921395854,-588.7894606330044,1.408337304083171,2515.861979250381,0.5048543689320388
A,SARIMA,test,5,103.0,0.1956247753967748,9160.539785993416,201.35507254540653,1.7413373924764748,2831.015275103883,0.4271844660194174
A,SARIMA,test,6,103.0,0.1865813227430963,8716.241476545174,169.57886887726946,1.7148848452236811,2743.688314017572,0.4466019417475728
A,SARIMA,test,7,103.0,0.2170471026680218,11254.8058897819,-826.1660989099908,1.9498874897352052,3235.6012351023123,0.5339805825242718
A,SARIMA,test,8,103.0,0.2537230315831322,13429.502883645486,1206.6163629414575,2.1629379399073563,3824.3413900833134,0.4077669902912621
A,SARIMA,test,9,103.0,0.2480618324032007,14166.572244385448,-585.6047429175293,2.3146892227005007,3902.782097056259,0.4271844660194174
A,SARIMA,test,10,103.0,0.2735006266223052,19384.659054060194,1732.1499404634092,2.31913042298512,4384.3013434969625,0.4271844660194174
A,SARIMA,test,11,103.0,0.2306908544056304,14981.474205089866,-374.3562738956968,2.4135807109385894,3996.028099872848,0.4563106796116505
A,SARIMA,test,12,103.0,0.3337276429379915,28340.07669418453,3345.6693845372997,2.9010396533784593,5122.928303884281,0.4271844660194174
A,SARIMA,val,0,618.0,140363376637644.66,7.000696155078785e+19,4.3117746435135503e+18,925857284256712.2,2.1558873217567844e+18,0.5372168284789643
A,SARIMA,val,1,103.0,17207415.737373274,3521423398821.0415,487168319852.63947,108611801.71253616,243584167683.327,0.5631067961165048
A,SARIMA,val,2,103.0,5139969.072059346,1532945888995.3796,152880977716.95132,21764074.096654285,76440497230.88873,0.5145631067961165
A,SARIMA,val,3,103.0,111513209391.79022,2.4447184889313364e+16,3380411429484428.0,752485823629.6292,1690205714751364.2,0.5631067961165048
A,SARIMA,val,4,103.0,18920174286.195267,6089887155141578.0,600691470045751.5,84947861475.85692,300345735032031.94,0.4757281553398058
A,SARIMA,val,5,103.0,695895754433566.4,1.6976605245796496e+20,2.3482529294498443e+19,5217341493566782.0,1.174126464724923e+19,0.5339805825242718
A,SARIMA,val,6,103.0,78297275106352.81,2.41936932180441e+19,2.384136823634036e+18,336964647912512.1,1.1920684118170268e+18,0.5728155339805825
A,XGBOOST,test,0,14832.0,0.1173747583605852,5378.519153185373,-1040.790930903331,1.0321246263539556,1812.39024380187,0.5738942826321467
A,XGBOOST,test,1,1236.0,0.1077240051693606,4911.968427674684,-1036.136508583637,0.9675531258684228,1663.372421116505,0.5833333333333334
A,XGBOOST,test,2,1236.0,0.1101096145826495,5021.0870488113405,-738.5527898794625,0.9920269980471076,1700.2087502093764,0.5275080906148867
A,XGBOOST,test,3,1236.0,0.1222941522608389,5650.950675072288,-1935.655660586064,1.0680274257229805,1888.350881632092,0.6359223300970874
A,XGBOOST,test,4,1236.0,0.1199412679954397,5538.596287089426,-1815.474948525043,1.0662067973324123,1852.0198633879131,0.6448220064724919
A,XGBOOST,test,5,1236.0,0.1226328513596764,5650.078363818302,-2026.4581662273715,1.087365886438553,1893.5807534622145,0.6537216828478964
A,XGBOOST,test,6,1236.0,0.1121940694350114,5140.777006817711,-146.1464298581614,0.9922915115938316,1732.3949347931205,0.5088996763754046
A,XGBOOST,test,7,1236.0,0.1158066998265458,5370.283592432276,-200.00004938119437,1.0071445705930913,1788.177763806192,0.5048543689320388
A,XGBOOST,test,8,1236.0,0.121302151421931,5587.018897508487,889.2928670247396,1.0457575797007772,1873.0333408985323,0.4182847896440129
A,XGBOOST,test,9,1236.0,0.1176076623390819,5361.510123823204,-985.7070075470268,1.0257225783521406,1815.986527229976,0.5679611650485437
A,XGBOOST,test,10,1236.0,0.1164169677761564,5287.694401107761,-1174.156999211481,1.0167777100002504,1797.6009455313574,0.5865695792880259
A,XGBOOST,test,11,1236.0,0.1189821529486235,5346.079000470902,-1584.7928194212682,1.043918291441017,1837.2101140192024,0.6270226537216829
A,XGBOOST,test,12,1236.0,0.1234855052117074,5612.647742597926,-1735.7026586440004,1.072703041156881,1906.746629535959,0.627831715210356
A,XGBOOST,val,0,7416.0,0.125670826049464,5581.45388532204,-1469.8457843076835,1.076816834253776,1930.219599191939,0.6217637540453075
A,XGBOOST,val,1,618.0,0.1218852284853728,5355.007381289472,-1897.9573567708333,1.0363288127530998,1872.075359653115,0.6844660194174758
A,XGBOOST,val,2,618.0,0.1304122271233241,5737.973811905626,-1874.453599849565,1.0930501802413006,2003.044339571956,0.6197411003236246
A,XGBOOST,val,3,618.0,0.1389339860334369,6274.8903766271405,-2641.075425231341,1.1716588753473205,2133.9328407855483,0.7087378640776699
A,XGBOOST,val,4,618.0,0.1342692015928823,5911.844894697407,-2266.3162142559163,1.152634467518263,2062.2848805054105,0.6844660194174758
A,XGBOOST,val,5,618.0,0.1341357616190769,5963.619275735812,-2403.847959253009,1.1588097971984317,2060.235332007547,0.6941747572815534
A,XGBOOST,val,6,618.0,0.1137014044227419,5102.5450329295645,-244.065257445894,0.98857010137154,1746.3773110398968,0.5194174757281553
A,XGBOOST,val,7,618.0,0.1147061224800894,5113.67354266261,-270.48153459369945,0.9780865359582508,1761.8091065243225,0.5097087378640777
A,XGBOOST,val,8,618.0,0.1209367687128232,5524.430979213361,850.7100012325546,1.0452638729895267,1857.507653690079,0.4563106796116505
A,XGBOOST,val,9,618.0,0.123270198947985,5379.813297461695,-1145.0498050825497,1.063994779229385,1893.347577042564,0.6213592233009708
A,XGBOOST,val,10,618.0,0.1181267751509018,5147.686327239241,-1398.2399898393255,1.0282843778279376,1814.348037275296,0.6067961165048543
A,XGBOOST,val,11,618.0,0.1267320292056527,5439.294433366095,-2057.907760669498,1.0973821374571715,1946.5189679093344,0.6682847896440129
A,XGBOOST,val,12,618.0,0.1309402088192806,5883.044949193412,-2289.464509933126,1.1077380731530824,2011.1537842982025,0.6877022653721683
B,ARIMA,test,0,1236.0,0.1066327405541892,4788.503753890319,-300.8363706191197,0.952214466534816,1646.5221428320808,0.5218446601941747
B,ARIMA,test,1,103.0,0.1031341204334621,4538.734704859128,507.4157438182321,0.9524097164969056,1560.2770572543843,0.4271844660194174
B,ARIMA,test,2,103.0,0.0859306802643478,3869.2377067117086,-209.8300955447638,0.794904974325873,1319.678753602824,0.5242718446601942
B,ARIMA,test,3,103.0,0.1057532037525182,4988.954309999655,-1346.615172387846,0.9647828745072304,1690.5933032506948,0.5825242718446602
B,ARIMA,test,4,103.0,0.1099355824635598,5040.739682309811,74.94784664291385,0.8836106994285451,1674.025403588197,0.5339805825242718
B,ARIMA,test,5,103.0,0.109123564392345,4374.61052762103,1654.1407784215785,0.9363197621286532,1579.1991430631656,0.3398058252427184
B,ARIMA,test,6,103.0,0.0997760470260531,3916.437211252492,1133.4933320240389,0.8907143582780133,1467.2120993652832,0.3300970873786408
B,ARIMA,test,7,103.0,0.1131510235735349,5016.022911367041,771.0377943391558,0.9563038310375948,1686.7840534485092,0.4174757281553398
B,ARIMA,test,8,103.0,0.1080195539672796,4751.820200856747,406.0252019477961,0.9464975336946344,1628.1677252467025,0.4854368932038835
B,ARIMA,test,9,103.0,0.1050528901351929,4614.138518795371,-886.9503551251046,0.962114154975238,1652.8078297721986,0.6116504854368932
B,ARIMA,test,10,103.0,0.0986064902259385,4209.723436785382,-1503.7592261998927,0.9403999380949534,1580.6931520201665,0.6893203883495146
B,ARIMA,test,11,103.0,0.1422420532741298,7267.098851720622,-4068.7928416117256,1.325816766727853,2463.917537309881,0.8058252427184466
B,ARIMA,test,12,103.0,0.09477852146349,3904.949863421431,-141.14945375381814,0.8726989887222976,1454.909656062964,0.5145631067961165
B,ARIMA,val,0,618.0,0.1176630470418401,5265.208787409786,-1633.0283099384912,1.0094004486944828,1807.2254845481027,0.6521035598705501
B,ARIMA,val,1,103.0,0.1075882806423419,4379.305866251199,914.4950845337412,0.8521928397174273,1522.994631659057,0.4563106796116505
B,ARIMA,val,2,103.0,0.0962795228268602,4157.325214736842,-778.137431364497,0.8619762843259196,1431.848031546467,0.6019417475728155
B,ARIMA,val,3,103.0,0.112416723777605,4686.401610825098,-1175.1671424511808,0.940669132867436,1703.9002822971595,0.6213592233009708
B,ARIMA,val,4,103.0,0.1147092176348532,5227.756922410474,-2722.962122851824,1.0291928445489975,1820.9358838003336,0.7475728155339806
B,ARIMA,val,5,103.0,0.1614995396301727,7622.618854820376,-4631.833865746133,1.4585720995317537,2724.8461039257495,0.8058252427184466
B,ARIMA,val,6,103.0,0.1076412758403385,4740.964873864456,-1404.5643817510534,0.9137994911753629,1638.8279740598496,0.6796116504854369
B,CATBOOST,test,0,14832.0,0.1196113744108909,5499.270615829088,-1244.5787897889863,1.084184835337556,1846.9259579990544,0.5490830636461704
B,CATBOOST,test,1,1236.0,0.1113406746058325,5035.14041258683,-1267.9412570698194,1.0020689323890506,1719.21761724957,0.5841423948220065
B,CATBOOST,test,2,1236.0,0.1156886308799909,5312.050479888143,-1332.720027647789,1.0573682206890946,1786.3546545634465,0.5631067961165048
B,CATBOOST,test,3,1236.0,0.1228973611306275,5666.906109871543,-2034.4519939340912,1.0825175609294428,1897.6650637087953,0.6181229773462783
B,CATBOOST,test,4,1236.0,0.1235415877414162,5706.30166691295,-1913.208977797493,1.0792999455646513,1907.6126030307,0.6173139158576052
B,CATBOOST,test,5,1236.0,0.1396499859230305,6440.4345119,-2599.1473357054965,1.2285785114136951,2156.3432851245875,0.6448220064724919
B,CATBOOST,test,6,1236.0,0.1091633633062981,5014.488215356419,-439.5713534190486,0.9988470425404522,1685.597631043739,0.5
B,CATBOOST,test,7,1236.0,0.113435928855047,5019.187748823295,-34.13634070309375,1.086579004796081,1751.5705559273638,0.4336569579288026
B,CATBOOST,test,8,1236.0,0.114563459897044,5063.891638283612,208.6581293186075,1.1073667368574565,1768.9808261476535,0.4182847896440129
B,CATBOOST,test,9,1236.0,0.1137575003725814,5191.928580356828,-1029.543614449931,1.0380997888773555,1756.535959811506,0.529126213592233
B,CATBOOST,test,10,1236.0,0.110776117756923,5218.358851486256,-1013.1283055238822,0.9917064586281716,1710.5002632006554,0.5372168284789643
B,CATBOOST,test,11,1236.0,0.1366032201986594,6366.362438027655,-1821.0019086104755,1.2495628136497623,2109.2980042556264,0.5622977346278317
B,CATBOOST,test,12,1236.0,0.1239186622632406,5699.123590625044,-1658.7524919253228,1.0882230077154589,1913.4350319250063,0.580906148867314
