Material Code,,Description,Supply Plan,,,,,Buffer days, future average ,lead time,lead time months,EX,variance (demand),Variance lead time demand,ROP,ROP in days,Buffer stock,,Maximum stock,Stacking quantity,MOQ,Difference,Order Delivery,Order Quantity,,Pallet requirement,Pallet requirement,,,Issuing,,,,,,
,,,Jul SP,Aug SP,Sep SP,Oct SP,Nov SP,,,,,,,,,,,Buffer Days,,,,,,,,,,,,,,,,,,
101017,Bags,  Tinopal CBS X, 40 , 20 , 111 , 172 , 162 , 30 , 379 ,30,1, 379.20 ,4766.403518,113.2241975, 492.43 , 38.96 ,142.2206383,, 521 ,25,25, (354), 30 , 379 , (354), 20.86 , 21 ,4137.56,2157427.422,37,,,,,,
101302,Reel,AQL NON WOVEN WHITE 60mm - WHITE," 2,594 "," 1,002 "," 2,215 "," 1,829 "," 2,188 ", 30 ," 2,294 ",60,2," 4,588.82 ",363199.4931,1397.756314," 5,986.58 ", 78.28 ,1755.718297, 22.96 ," 4,050 ",480,1800, (494), 30 ," 2,294 ", (494), 8.44 , 9 ,518.57,2100275.022,77,,,,,,
101398,Drum,IMPORTED BULK - BC COL CUDDLY BUNNY," 4,141 "," 3,476 "," 3,524 "," 3,349 "," 3,283 ", 30 ," 4,885 ",70,2.333333333," 11,398.80 ",116689.4657,855.752283," 12,254.55 ", 75.26 ,1074.908355, 6.60 ," 3,075 ",800,2000," (2,885)", 15 ," 2,443 ", (443), 3.84 , 4 ,311.76,958633.4289,217,,,,,,
101389,Drum,IMPORTED BULK - BC FLORAL COL," 2,695 "," 2,771 "," 2,951 "," 2,903 "," 2,752 ", 30 , 307 ,70,2.333333333, 717.16 ,11615.97291,269.9976822, 987.15 , 96.35 ,339.14343, 33.10 , 493 ,800,1200, 893 , 15 , 154 ," 1,046 ", 0.62 , 1 ,326.3,160807.1301,149,,,,,,
101762,Drum,Pink Pleats," 3,056 ", 932 ," 1,778 "," 2,442 "," 1,319 ", 30 ," 1,649 ",75,2.5," 4,121.44 ",729480.7298,2214.729877," 6,336.17 ", 115.30 ,2781.916796, 50.62 ," 3,606 ",500,100," (1,549)", 15 , 824 , (724), 7.21 , 8 ,2589.19,9337149.047,127,,,,,,
100006,Drum,ALCOHOL," 3,299 "," 1,404 "," 1,985 "," 2,499 "," 1,856 ", 30 ," 2,204 ",85,2.833333333," 6,245.57 ",523800.5054,1997.908709," 8,243.48 ", 112.19 ,2509.568257, 34.15 ," 16,910 ",640,14400," 12,196 ", 90 ," 14,400 ", -   , 26.42 , 27 ,1275.57,21569337.98,435,,,,,,
101399,Drum,IMPORTED BULK - BC COL ANGEL FAIRY," 2,797 "," 2,470 "," 2,500 "," 2,226 "," 2,183 ", 30 ," 5,437 ",70,2.333333333," 12,686.87 ",60855.26908,617.9898387," 13,304.86 ", 73.41 ,776.2555291, 4.28 ," 2,776 ",800,2000," (3,437)", 15 ," 2,719 ", (719), 3.47 , 4 ,311.28,864192.8211,170,,,,,,
101471,Reel,PRINTED PE POUCH 240mm - LIGHT PURPLE," 2,485 ", 906 ," 2,165 "," 1,928 "," 2,153 ", 30 ," 2,112 ",65,2.166666667," 4,575.31 ",365211.0972,1458.854172," 6,034.17 ", 85.73 ,1832.463167, 26.03 ," 3,944 ",600,500," (1,612)", 30 ," 2,112 "," (1,612)", 6.57 , 7 ,637.96,2516206.884,41,,,,,,
100038,Drum,XIAMETER (R) MEM - 1785 EMULSION," 2,893 "," 2,089 "," 1,973 "," 1,963 "," 1,963 ", 30 ," 2,196 ",60,2," 4,392.07 ",163273.3021,937.1658053," 5,329.23 ", 72.80 ,1177.171682, 16.08 ," 2,275 ",800,200," (1,996)", 15 ," 1,098 ", (898), 2.84 , 3 ,963.47,2192075.511,793,,,,,,
100525,Drum,LUZI 187340," 1,372 "," 1,377 "," 1,299 "," 1,365 "," 1,200 ", 30 , 923 ,65,2.166666667," 1,999.12 ",5695.897141,182.1885033," 2,181.30 ", 70.92 ,228.8465346, 7.44 , 690 ,500,50, (873), 15 , 461 , (411), 1.38 , 2 ,4896.47,3379450.167,429,,,,,,
101374,Bags,CUTINA EGDS, 633 , 407 , 386 , 319 , 325 , 30 , 446 ,70,2.333333333," 1,041.77 ",16416.76257,320.9785415," 1,362.74 ", 91.57 ,403.1803631, 27.09 , 850 ,140,20, (426), 30 , 446 , (426), 6.07 , 7 ,1109.39,942594.5822,365,,,,,,
101390,Drum,IMPORTED BULK - BC BED TIME COL," 2,225 "," 2,326 "," 2,211 "," 2,045 "," 1,771 ", 30 ," 2,012 ",70,2.333333333," 4,694.40 ",47207.07004,544.2967784," 5,238.69 ", 78.12 ,683.6898558, 10.19 ," 1,690 ",800,1000," (1,012)", 15 ," 1,006 ", (6), 2.11 , 3 ,300.21,507244.3524,78,,,,,,
101429,Reel,PREMIUM PE PERFORATED 90mm TOP SHEET, 714 , 285 , 600 , 498 , 568 , 30 , 644 ,65,2.166666667," 1,394.92 ",25337.24912,384.2550906," 1,779.17 ", 82.91 ,482.6618821, 22.49 ," 1,126 ",192,500, (144), 30 , 644 , (144), 5.87 , 6 ,1393.62,1569872.235,29,,,,,,
101862,Drum,BULK BC HERBAL COLOGNE - IMPORTED," 2,125 "," 2,076 "," 2,109 "," 2,076 "," 2,134 ", 30 ," 3,807 ",70,2.333333333," 8,882.40 ",733.3196147,67.83891471," 8,950.24 ", 70.53 ,85.21229531, 0.67 ," 1,285 ",800,1200," (2,607)", 15 ," 1,903 ", (703), 1.61 , 2 ,217.46,279482.2657,111,,,,,,
