workers,replicate,algorithm,temporal_conflicts,total_wait_seconds,mean_runtime_ms,p95_runtime_ms,makespan_seconds
25,1,reservation_astar,0,1398.0000001860008,0.31775824,0.8317087999999997,304.66666668366673
25,2,independent_astar,5276,0.0,0.18364335999999998,0.42365859999999994,192.66666666666669
25,2,reservation_astar,0,1400.6666668626672,0.35831159999999995,0.8569333999999997,274.6666666836668
25,3,independent_astar,6765,0.0,0.28848996,0.740625,208.00000000000003
25,3,reservation_astar,0,1304.6666668416676,0.51791324,1.250274999999999,254.00000001400016
25,4,independent_astar,5382,0.0,0.26103832,0.7307085999999998,204.00000000000003
25,4,reservation_astar,0,1393.0000001960007,0.5010981600000001,1.2782493999999998,283.3333333443334
25,5,independent_astar,6145,0.0,0.26298176,0.5593585999999999,205.3333333333334
25,5,reservation_astar,0,1519.3333335323339,0.497815,1.119042199999999,328.66666668366656
25,6,independent_astar,5813,0.0,0.2326916,0.6932087999999996,180.66666666666669
25,6,reservation_astar,0,1357.0000001860008,0.42680664,1.1558253999999997,295.3333333503334
25,7,independent_astar,6768,0.0,0.26590832000000003,0.8005999999999998,191.33333333333331
25,7,reservation_astar,0,1306.0000001780006,0.51231672,1.4286753999999997,267.3333333443335
50,0,independent_astar,25640,0.0,0.26267909999999994,0.7095850499999999,208.00000000000006
50,0,reservation_astar,0,5694.666667438665,0.55973986,1.4264123499999997,408.66666669466616
50,1,independent_astar,29977,0.0,0.28020838,0.6289392499999998,201.3333333333334
50,1,reservation_astar,0,5947.666667463663,0.50741166,1.1243849,414.00000002999946
50,2,independent_astar,31858,0.0,0.24517916000000003,0.5582125,199.3333333333334
50,2,reservation_astar,0,5774.000000678996,0.43826002000000003,0.9529126499999997,424.66666669766596
50,3,independent_astar,21978,0.0,0.19475671999999997,0.4959474,188.00000000000003
50,3,reservation_astar,0,5788.000000775996,0.35225423999999994,0.84030395,450.00000003699927
50,4,independent_astar,30222,0.0,0.23979080000000003,0.5593901,198.6666666666667
50,4,reservation_astar,0,6034.333334152331,0.50047074,1.1224688999999999,425.3333333703327
50,5,independent_astar,32988,0.0,0.24719500000000003,0.68609375,201.33333333333334
50,5,reservation_astar,0,6278.000000820995,0.45580909999999997,1.2587748499999996,468.33333337133257
50,6,independent_astar,21670,0.0,0.2201133,0.5694275999999999,202.6666666666667
50,6,reservation_astar,0,5651.666667442667,0.44398664000000004,1.1186253,385.3333333623329
50,7,independent_astar,26955,0.0,0.21821412,0.60070275,202.00000000000006
50,7,reservation_astar,0,5594.33333408233,0.40815330000000005,1.0013977999999997,474.00000003599916
